1x,Adaptive Automaton,Magic 2012,2011-07-15,False,True
1x,Ancient Den,Mirrodin,2003-10-03,False,True
1x,Ancient Stirrings,Rise of the Eldrazi,2010-04-23,False,True
1x,Ancient Tomb,Zendikar Rising Expedition,2020-09-18,False,True
1x,Arcbound Reclaimer,Darksteel,2004-02-06,False,True
1x,Arctic Treeline,Kaldheim,2021-01-29,False,True
1x,"Armix, Filigree Thrasher",Commander Legends,2020-11-20,True,True
1x,Birthing Boughs,Modern Horizons,2019-06-14,False,True
1x,Blade Splicer,New Phyrexia,2011-05-13,False,True
1x,Blightsteel Colossus,Double Masters,2020-08-07,False,True
1x,Brass Herald,Commander Legends,2020-11-20,False,True
1x,Buried Ruin,Double Masters,2020-08-07,False,True
1x,Cavern of Souls,Ultimate Masters,2018-12-07,False,True
1x,Chromatic Sphere,Mirrodin,2003-10-03,False,True
1x,Colossus of Akros,Theros,2013-09-27,False,True
1x,Command Tower,Commander Legends,2020-11-20,False,True
1x,Darksteel Citadel,Darksteel,2004-02-06,False,True
1x,Darksteel Colossus,Secret Lair Drop Series,2019-12-02,True,True
1x,Darksteel Sentinel,Scars of Mirrodin,2010-10-01,False,True
1x,Demonic Tutor,Divine v Demonic Duel Deck,2009-04-10,False,True
1x,Dispeller's Capsule,Shards of Alara,2008-10-03,False,True
1x,Doubling Season,Double Masters,2020-08-07,False,True
1x,Enlightened Tutor,Eternal Masters,2016-06-10,False,True
1x,Epitaph Golem,Shadows over Innistrad,2016-04-08,False,True
1x,Executioner's Capsule,Shards of Alara,2008-10-03,False,True
1x,Exotic Orchard,Ikoria Commander,2020-04-24,False,True
1x,Expedition Map,Zendikar,2009-10-02,False,True
1x,Fabled Passage,Throne of Eldraine,2019-10-04,False,True
1x,Flawless Maneuver,Ikoria Commander,2020-04-24,False,True
1x,Forsaken Monument,Zendikar Rising,2020-09-18,False,True
1x,Geode Golem,Commander 2018,2018-08-10,False,True
1x,Gingerbrute,Throne of Eldraine,2019-10-04,False,True
1x,Glimmervoid,Mirrodin,2003-10-03,False,True
1x,"Glissa, the Traitor",Mirrodin Besieged,2011-02-04,False,True
1x,Godless Shrine,Gatecrash,2013-02-01,False,True
1x,Golden Egg,Throne of Eldraine,2019-10-04,False,True
1x,Golden Guardian // Gold-Forge Garrison,Rivals of Ixalan,2018-01-19,False,True
1x,Golem Artisan,Scars of Mirrodin,2010-10-01,False,True
1x,Golem Foundry,Scars of Mirrodin,2010-10-01,False,True
1x,Hedron Archive,Jumpstart,2020-07-17,False,True
1x,High Market,Double Masters,2020-08-07,False,True
1x,Howling Golem,Dominaria,2018-04-27,False,True
1x,Icehide Golem,Modern Horizons,2019-06-14,False,True
1x,"Ich-Tekik, Salvage Splicer",Commander Legends,2020-11-20,True,True
1x,Indatha Triome,Ikoria: Lair of Behemoths,2020-04-24,False,True
1x,Inspiring Call,Dragons of Tarkir,2015-03-27,False,True
1x,Inventors' Fair,Kaladesh,2016-09-30,False,True
1x,Iron Bully,War of the Spark,2019-05-03,True,True
1x,Karn's Bastion,War of the Spark,2019-05-03,False,True
1x,Lodestone Golem,Worldwake,2010-02-05,False,True
1x,Lotus Petal,Tempest,1997-10-13,False,True
1x,Maelstrom Colossus,Commander Legends,2020-11-20,False,True
1x,Mage-Ring Responder,Magic Origins,2015-07-17,False,True
1x,Malakir Rebirth // Malakir Mire,Zendikar Rising,2020-09-18,True,True
1x,Marsh Flats,Zendikar,2009-10-02,False,True
1x,Master Splicer,New Phyrexia,2011-05-13,False,True
1x,Maul Splicer,New Phyrexia,2011-05-13,False,True
1x,Metalspinner's Puzzleknot,Kaladesh,2016-09-30,False,True
1x,Meteor Golem,Core Set 2019,2018-07-13,False,True
1x,Misty Rainforest,Zendikar,2009-10-02,False,True
1x,Mox Opal,Double Masters,2020-08-07,False,True
1x,Mycosynth Golem,Fifth Dawn,2004-06-04,False,True
1x,Overgrown Tomb,Return to Ravnica,2012-10-05,False,True
1x,Path of Ancestry,Commander Legends,2020-11-20,False,True
1x,Phyrexian Scriptures,Dominaria,2018-04-27,False,True
1x,Phyrexian Triniform,Commander Legends,2020-11-20,True,True
1x,Platinum Emperion,Ultimate Masters Promo,2018-12-07,True,True
1x,Precursor Golem,Scars of Mirrodin,2010-10-01,False,True
1x,"Ravos, Soultender",Commander Legends,2020-11-20,True,True
1x,Realmwalker,Kaldheim,2021-01-29,False,True
1x,"Rebbec, Architect of Ascension",Commander Legends,2020-11-20,True,True
1x,Relic Golem,Zendikar Rising,2020-09-18,False,True
1x,Salvage Titan,Shards of Alara,2008-10-03,False,True
1x,Scarecrone,Eventide,2008-07-25,False,True
1x,Sensor Splicer,New Phyrexia,2011-05-13,False,True
1x,Skeleton Shard,Mirrodin,2003-10-03,False,True
1x,Smothering Tithe,Ravnica Allegiance,2019-01-25,False,True
2x,Snow-Covered Forest,Modern Horizons,2019-06-14,False,True
2x,Snow-Covered Plains,Modern Horizons,2019-06-14,False,True
2x,Snow-Covered Swamp,Modern Horizons,2019-06-14,False,True
1x,Sol Ring,Commander Legends,2020-11-20,False,True
1x,Solemn Simulacrum,Core Set 2021,2020-07-01,False,True
1x,Spare Supplies,Zendikar Rising,2020-09-18,False,True
1x,Strip Mine,Zendikar Rising Expedition,2020-09-18,False,True
1x,Tamiyo's Journal,Shadows over Innistrad,2016-04-08,False,True
1x,Temple Garden,Return to Ravnica,2012-10-05,False,True
1x,Thran Dynamo,Commander 2019,2019-08-23,False,True
1x,Throne of Geth,Scars of Mirrodin,2010-10-01,False,True
1x,Tormod's Crypt,Magic 2013,2012-07-13,False,True
1x,Tree of Tales,Mirrodin,2003-10-03,False,True
1x,"Ugin, the Spirit Dragon",Fate Reforged,2015-01-23,True,True
1x,Unbreakable Formation,Ravnica Allegiance,2019-01-25,False,True
1x,Universal Automaton,Modern Horizons,2019-06-14,False,True
1x,Unwinding Clock,Commander 2018,2018-08-10,False,True
1x,Urza's Incubator,Commander 2015,2015-11-13,False,True
1x,Urza's Mine,Double Masters,2020-08-07,False,True
1x,Urza's Power Plant,Double Masters,2020-08-07,False,True
1x,Urza's Tower,Double Masters,2020-08-07,False,True
1x,Vault of Whispers,Mirrodin,2003-10-03,False,True
1x,Verdant Catacombs,Zendikar,2009-10-02,False,True
1x,Vital Splicer,New Phyrexia,2011-05-13,False,True
1x,Welding Jar,Mirrodin,2003-10-03,False,True
1x,Winds of Abandon,Modern Horizons,2019-06-14,False,True
1x,Woodland Chasm,Kaldheim,2021-01-29,False,True
